"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 25 15:18:43 EET 2022","Fri Nov 25 15:19:05 EET 2022","21914","Command line suite","Command line test","Basic.KisiAdiGuncelleTest","Basic.KisiAdiGuncelleTest","KisiAdiGuncelle","KisiAdiGuncelle","Kişi Adı güncelleme testi."
"passed","Fri Nov 25 17:41:09 EET 2022","Fri Nov 25 17:42:01 EET 2022","52167","Default Suite","ttPay_POM","SemiVerified.BankadanParaYukleTest","SemiVerified.BankadanParaYukleTest","BankaHesabindanParaYukle","BankaHesabindanParaYukle","Banka hesabından para yükleme testi."
"passed","Fri Nov 25 17:20:10 EET 2022","Fri Nov 25 17:20:48 EET 2022","37917","Basic Suite","ttPay_POM","SemiVerified.ParaIsteKayitliKisidenTest","SemiVerified.ParaIsteKayitliKisidenTest","KayitliKisidenParaIste","KayitliKisidenParaIste","Kayıtlı Kişiden Para İsteme senaryosu."
"passed","Tue Nov 29 16:54:23 EET 2022","Tue Nov 29 16:55:20 EET 2022","56583","Default Suite","ttPay_POM","Verified.GrubaParaGonderTest","Verified.GrubaParaGonderTest","GrubaParaGonder","GrubaParaGonder","Gruba Para Gönderme senaryosu"
"broken","Tue Nov 29 18:00:08 EET 2022","Tue Nov 29 18:00:08 EET 2022","0","Default Suite","ttPay_POM","Login.LoginHataliParolaTest","Login.LoginHataliParolaTest","stopAppiumAndDriver","stopAppiumAndDriver",""
"passed","Fri Nov 25 15:25:24 EET 2022","Fri Nov 25 15:25:47 EET 2022","23496","Command line suite","Command line test","Basic.SifreGuncelleTest","Basic.SifreGuncelleTest","SifreGuncelle","SifreGuncelle","Şifre güncelleme testi. (Şifreyi güncellemez ekranı açar)"
"passed","Fri Nov 25 17:25:54 EET 2022","Fri Nov 25 17:26:43 EET 2022","48895","Basic Suite","ttPay_POM","SemiVerified.YeniKisiOlusturduktanSonraParaIsteTest","SemiVerified.YeniKisiOlusturduktanSonraParaIsteTest","YeniKisiOlusturVeParaGonder","YeniKisiOlusturVeParaGonder","Yeni kişi oluşturduktan sonra Para Gönderme senaryosu"
"passed","Fri Nov 25 16:23:10 EET 2022","Fri Nov 25 16:23:42 EET 2022","31553","Basic Suite","ttPay_POM","Verified.FaturaOdeTest","Verified.FaturaOdeTest","FaturaOde","FaturaOde","Fatura Ödeme testi."
"passed","Fri Nov 25 16:30:06 EET 2022","Fri Nov 25 16:30:41 EET 2022","35274","Basic Suite","ttPay_POM","Verified.KisiDavetEtTest","Verified.KisiDavetEtTest","KisiDavetEt","KisiDavetEt","Kampanyaları görüntüleme testi."
"passed","Mon Nov 21 23:13:39 EET 2022","Mon Nov 21 23:13:58 EET 2022","19273","Default Suite","ttPay_POM","Basic.KisidenParaIsteTest","Basic.KisidenParaIsteTest","KayitliKisiyeParaGonder","KayitliKisiyeParaGonder","Para Gönderme senaryosu"
"passed","Fri Nov 25 15:16:49 EET 2022","Fri Nov 25 15:17:19 EET 2022","29598","Command line suite","Command line test","Basic.GruptanParaIsteTest","Basic.GruptanParaIsteTest","GruptanParaIste","GruptanParaIste","Gruptan Para İsteme senaryosu"
"passed","Fri Nov 25 17:15:15 EET 2022","Fri Nov 25 17:16:00 EET 2022","45238","Basic Suite","ttPay_POM","SemiVerified.KisiOlusturTest","SemiVerified.KisiOlusturTest","KisiOlustur","KisiOlustur","Kişi Oluşturma senaryosu"
"broken","Tue Nov 22 16:03:12 EET 2022","Tue Nov 22 16:03:53 EET 2022","40177","Default Suite","ttPay_POM","Login.Login_BeniHatirla","Login.Login_BeniHatirla","BeniHatirla","BeniHatirla","Beni hatırla butonu testi."
"passed","Fri Nov 25 16:39:34 EET 2022","Fri Nov 25 16:40:08 EET 2022","33281","Basic Suite","ttPay_POM","Verified.PokusKartEkleTest","Verified.PokusKartEkleTest","PokusKartEkle","PokusKartEkle","Pokus Kart Ekleme testi."
